source_id,year,topic,source_type,short_title,doi_or_identifier,url,evidence_note
A1,2022,ICH,Guideline,AHA-ASA spontaneous ICH guideline,10.1161/STR.0000000000000407,https://pubmed.ncbi.nlm.nih.gov/35579034/,Primary current US guideline
A2,2025,ICH,Guideline,ESO-EANS spontaneous ICH guideline,10.1177/23969873251340815,https://pmc.ncbi.nlm.nih.gov/articles/PMC12098356/,Primary current European guideline
A3,2021,Ischemic stroke,Guideline,ESO space-occupying infarction guideline,10.1177/23969873211027001,https://pmc.ncbi.nlm.nih.gov/articles/PMC8370077/,Primary decompression guideline
A4,2014,Ischemic stroke,Scientific statement,AHA-ASA infarction with swelling statement,10.1161/01.str.0000441965.15164.d6,https://pubmed.ncbi.nlm.nih.gov/24481970/,US swelling pathway
A5,2023,aSAH,Guideline,AHA-ASA aneurysmal SAH guideline,10.1161/STR.0000000000000436,https://pubmed.ncbi.nlm.nih.gov/37212182/,Primary current US guideline
A6,2023,aSAH,Guideline,NCS aneurysmal SAH guideline,10.1007/s12028-023-01713-5,https://pubmed.ncbi.nlm.nih.gov/37202712/,Neurocritical-care pathway
A7,2026,aSAH,Guideline,ESO-EANS-ESMINT aneurysmal SAH guideline,10.1093/esj/aakag043,https://pmc.ncbi.nlm.nih.gov/articles/PMC13151661/,Newest European guideline at search date
A8,2017,CVT,Guideline,ESO cerebral venous thrombosis guideline,10.1111/ene.13381,https://pubmed.ncbi.nlm.nih.gov/28833980/,Decompression rescue recommendation
A9,2024,CVT,Guideline,Canadian Stroke Best Practices CVT update,10.1017/cjn.2024.269,https://pubmed.ncbi.nlm.nih.gov/38826076/,Current Canadian pathway
A10,2017,AVM,Scientific statement,AHA-ASA brain AVM statement,10.1161/STR.0000000000000134,https://pubmed.ncbi.nlm.nih.gov/28642352/,Multimodal AVM management
A11,2024,ICH,Guideline,NCS ICH neuroprognostication guideline,PMID:37923968,https://pmc.ncbi.nlm.nih.gov/articles/PMC10959839/,Avoid deterministic early prognosis
